I,f0,Ql,Qi,Qc,phi,delay,npoints
-0.21,5434592502.060063,115.36345354667684,326.5196670473708,178.39132373612082,-0.3412374634948462,,901
-0.19999999999999998,5432697617.912798,117.67926824699079,342.89718320812807,179.1682052062768,-0.31402063717429146,,901
-0.18999999999999995,5432451682.524653,121.66523764370592,365.6773648954421,182.32791952602255,-0.3257686778620434,,901
-0.17999999999999994,5432474434.5037565,119.42561674522192,347.24725180435036,182.0293195554268,-0.3396984605642074,,901
-0.1699999999999999,5431463701.12822,118.0694602630322,346.05830727164687,179.21454533939556,-0.3400352283395343,,901
-0.16000000000000011,5430232908.632949,121.5196069546416,366.83862099203344,181.71475706298085,-0.3488482754433296,,901
-0.15000000000000008,5429932466.214053,114.41128711911655,332.9390244420307,174.31188729286094,-0.33545587954253275,,901
-0.14000000000000004,5418644467.192001,133.613802925172,398.649303809849,200.9732633466451,0.0264233144882315,,901
-0.13000000000000003,5427979240.4365835,114.69702272326857,330.2774271473546,175.72022683463527,-0.3171074735996628,,901
-0.12,5425388898.850159,122.33364748071881,384.62121423519784,179.39133226203992,-0.2649889318559662,,901
-0.10999999999999997,5425558580.733667,116.61118577004193,349.85450174448613,174.91154301665708,-0.2967063989059865,,901
-0.10000000000000005,5413776576.102479,129.60233356064313,379.96526204405427,196.69199801740453,0.10305817840250743,,901
-0.09000000000000002,5424403072.2912655,122.65256758204916,373.79158025861074,182.5542617638434,-0.30379984324963955,,901
-0.07999999999999999,5422277162.023799,123.52404304923995,372.457164030096,184.8183744387697,-0.26693383715199054,,901
-0.06999999999999997,5421430191.127902,116.95035884572903,344.98632498373524,176.9294343651903,-0.2668059341155229,,901
-0.05999999999999994,5421149735.549043,113.76720752826799,329.0867142636129,173.87777393732335,-0.31612970951172664,,901
-0.04999999999999992,5420567916.7497015,109.5811185989955,321.5313819786148,166.23602131973345,-0.3451163149798179,,901
-0.040000000000000105,5416648874.7963085,116.22072298617509,349.7124866249594,174.06968622551742,-0.2446012878125711,,901
-0.030000000000000075,5415285132.882172,119.82475744219506,382.1286808715091,174.56268247346162,-0.24982697321749617,,901
-0.020000000000000052,5413367507.525686,120.68663897028914,387.86938347884745,175.20088109597538,-0.23282552038625046,,901
-0.010000000000000026,5413776478.575965,119.97695431761314,380.0768321736735,175.31903938885853,-0.3111496102797894,,901
0.0,5411295538.666556,122.6632496725471,408.4547007006769,175.31098551664223,-0.2683098700117559,,901
